ID: koa_10002001_007 | T:2 vs O:1
ID: koa_10002001_017 | T:4 vs O:3
ID: koa_10002001_018 | T:3 vs O:2
ID: koa_10002001_019 | T:8 vs O:7
ID: koa_10002001_023 | T:2 vs O:3
ID: koa_10002001_024 | T:3 vs O:4
ID: koa_10002001_025 | T:5 vs O:4
ID: koa_10002002_004 | T:4 vs O:5
ID: koa_10002002_007 | T:8 vs O:7
ID: koa_10002002_009 | T:3 vs O:4
ID: koa_10002003_002 | T:5 vs O:4
ID: koa_10002005_001 | T:3 vs O:4
ID: koa_10002005_002 | T:6 vs O:5
ID: koa_10002005_005 | T:5 vs O:4
ID: koa_10002005_006 | T:1 vs O:2
ID: koa_10002006_002 | T:2 vs O:1
ID: koa_10002006_004 | T:5 vs O:6
ID: koa_10002006_006 | T:4 vs O:5
ID: koa_10002006_007 | T:9 vs O:10
ID: koa_10002007_002 | T:4 vs O:5
ID: koa_10002007_003 | T:3 vs O:2
ID: koa_10002007_004 | T:1 vs O:2
ID: koa_10002008_001 | T:6 vs O:5
ID: koa_10002008_002 | T:3 vs O:2
ID: koa_10002009_002 | T:2 vs O:1
ID: koa_10002009_003 | T:8 vs O:9
ID: koa_10002010_002 | T:1 vs O:2
ID: koa_10002010_005 | T:8 vs O:9
ID: koa_10002011_002 | T:2 vs O:1
ID: koa_10002011_006 | T:4 vs O:5
ID: koa_10002011_007 | T:4 vs O:5
ID: koa_10002011_008 | T:11 vs O:12
ID: koa_10002012_001 | T:21 vs O:22
ID: koa_10002013_001 | T:8 vs O:7
ID: koa_10002013_003 | T:13 vs O:14
ID: koa_10002013_004 | T:56 vs O:55
ID: koa_10002013_006 | T:8 vs O:9
ID: koa_10002013_007 | T:12 vs O:11
ID: koa_10002014_001 | T:5 vs O:4
ID: koa_10002014_003 | T:7 vs O:6
ID: koa_10002014_004 | T:4 vs O:3
ID: koa_10002014_006 | T:3 vs O:4
ID: koa_10002014_008 | T:6 vs O:5
ID: koa_10002014_013 | T:4 vs O:3
ID: koa_10002014_014 | T:4 vs O:5
ID: koa_10002014_016 | T:3 vs O:2
ID: koa_10002014_017 | T:6 vs O:5
ID: koa_10002014_018 | T:4 vs O:3
ID: koa_10002014_022 | T:2 vs O:3
ID: koa_10002014_023 | T:2 vs O:3
ID: koa_10002015_001 | T:2 vs O:3
ID: koa_10002015_004 | T:2 vs O:3
ID: koa_10002015_006 | T:2 vs O:1
ID: koa_10002015_009 | T:9 vs O:10
ID: koa_10002015_010 | T:5 vs O:6
ID: koa_10002016_002 | T:2 vs O:3
ID: koa_10002016_004 | T:3 vs O:4
ID: koa_10002016_005 | T:2 vs O:3
ID: koa_10002016_006 | T:2 vs O:1
ID: koa_10002017_003 | T:7 vs O:6
ID: koa_10002017_005 | T:6 vs O:5
ID: koa_10002017_007 | T:8 vs O:9
ID: koa_10002017_009 | T:1 vs O:2
ID: koa_10002018_002 | T:3 vs O:4
ID: koa_10002018_003 | T:6 vs O:5
ID: koa_10002018_004 | T:7 vs O:6
ID: koa_10002018_005 | T:5 vs O:4
ID: koa_10002018_006 | T:10 vs O:9
ID: koa_10002018_009 | T:9 vs O:8
ID: koa_10002018_010 | T:5 vs O:4
ID: koa_10002018_011 | T:36 vs O:35
ID: koa_10002018_013 | T:2 vs O:1
ID: koa_10002018_014 | T:3 vs O:4
ID: koa_10002019_003 | T:4 vs O:5
ID: koa_10002019_008 | T:5 vs O:4
ID: koa_10002019_011 | T:5 vs O:6
ID: koa_10002019_012 | T:10 vs O:11
ID: koa_10002020_002 | T:4 vs O:3
ID: koa_10002020_003 | T:5 vs O:4
ID: koa_10002020_004 | T:6 vs O:7
ID: koa_10002020_005 | T:2 vs O:3
ID: koa_10002020_008 | T:2 vs O:1
ID: koa_10002020_009 | T:6 vs O:7
ID: koa_10002020_011 | T:8 vs O:9
ID: koa_10002020_012 | T:1 vs O:2
ID: koa_10002020_013 | T:4 vs O:5
ID: koa_10002021_001 | T:1 vs O:2
ID: koa_10002021_003 | T:14 vs O:13
ID: koa_10002021_004 | T:1 vs O:2
ID: koa_10002021_007 | T:8 vs O:7
ID: koa_10002021_008 | T:23 vs O:24
ID: koa_10002021_009 | T:2 vs O:3
ID: koa_10002021_010 | T:6 vs O:5
ID: koa_10002022_004 | T:4 vs O:3
ID: koa_10002022_005 | T:3 vs O:2
ID: koa_10002022_006 | T:5 vs O:4
ID: koa_10002023_001 | T:1 vs O:2
ID: koa_10002023_008 | T:4 vs O:3
ID: koa_10002023_009 | T:10 vs O:9
ID: koa_10002023_010 | T:12 vs O:13
ID: koa_10002023_011 | T:8 vs O:9
ID: koa_10002023_012 | T:11 vs O:12
ID: koa_10002024_001 | T:1 vs O:2
ID: koa_10002024_002 | T:11 vs O:12
ID: koa_10002025_001 | T:1 vs O:2
ID: koa_10002025_002 | T:5 vs O:4
ID: koa_10002025_003 | T:6 vs O:7
ID: koa_10002025_004 | T:4 vs O:5
ID: koa_10002025_007 | T:2 vs O:1
ID: koa_10002025_008 | T:2 vs O:1
ID: koa_10002026_001 | T:1 vs O:2
ID: koa_10002026_003 | T:6 vs O:5
ID: koa_10002027_001 | T:1 vs O:2
ID: koa_10002027_002 | T:8 vs O:7
ID: koa_10002027_003 | T:6 vs O:5
ID: koa_10002027_004 | T:5 vs O:4
ID: koa_10002028_004 | T:3 vs O:2
ID: koa_10002029_002 | T:19 vs O:20
ID: koa_10002029_003 | T:11 vs O:10
ID: koa_10002030_002 | T:1 vs O:2
ID: koa_10003001_001 | T:1 vs O:2
ID: koa_10003001_002 | T:6 vs O:7
ID: koa_10003001_003 | T:4 vs O:3
ID: koa_10003001_004 | T:2 vs O:1
ID: koa_10003001_005 | T:7 vs O:6
ID: koa_10003001_007 | T:2 vs O:1
ID: koa_10003002_002 | T:12 vs O:11
ID: koa_10003002_004 | T:1 vs O:2
ID: koa_10003002_005 | T:13 vs O:14
ID: koa_10003002_006 | T:7 vs O:8
ID: koa_10003002_009 | T:1 vs O:2
ID: koa_10003003_001 | T:5 vs O:4
ID: koa_10003006_003 | T:1 vs O:2
ID: koa_10003007_001 | T:1 vs O:2
ID: koa_10003007_002 | T:3 vs O:2
ID: koa_10003007_004 | T:1 vs O:2
ID: koa_10003007_005 | T:4 vs O:5
ID: koa_10003007_006 | T:3 vs O:4
ID: koa_10003007_007 | T:1 vs O:2
ID: koa_10003007_008 | T:4 vs O:5
ID: koa_10003007_010 | T:40 vs O:41
ID: koa_10003008_001 | T:1 vs O:2
ID: koa_10003008_003 | T:1 vs O:2
ID: koa_10003009_001 | T:0 vs O:1
ID: koa_10003009_002 | T:8 vs O:9
ID: koa_10003009_004 | T:1 vs O:2
ID: koa_10003009_006 | T:3 vs O:4
ID: koa_10003009_007 | T:3 vs O:2
ID: koa_10003009_009 | T:1 vs O:2
ID: koa_10003010_001 | T:0 vs O:1
ID: koa_10003010_002 | T:17 vs O:18
ID: koa_10003010_003 | T:5 vs O:6
ID: koa_10003010_004 | T:5 vs O:6
ID: koa_10003012_001 | T:2 vs O:3
ID: koa_10003012_002 | T:1 vs O:2
ID: koa_10003012_004 | T:2 vs O:1
ID: koa_10003012_005 | T:1 vs O:2
ID: koa_10003013_001 | T:2 vs O:3
ID: koa_10003013_002 | T:2 vs O:3
ID: koa_10003014_002 | T:2 vs O:3
ID: koa_10003015_003 | T:4 vs O:3
ID: koa_10003015_004 | T:2 vs O:3
ID: koa_10003015_006 | T:9 vs O:8
ID: koa_10003016_002 | T:5 vs O:6
ID: koa_10003017_002 | T:3 vs O:4
ID: koa_10003018_002 | T:1 vs O:2
ID: koa_10003019_001 | T:3 vs O:4
ID: koa_10003020_002 | T:4 vs O:5
ID: koa_10003021_006 | T:8 vs O:7
ID: koa_10003021_007 | T:7 vs O:6
ID: koa_10003022_001 | T:9 vs O:8
ID: koa_10003022_002 | T:4 vs O:5
ID: koa_10003022_003 | T:2 vs O:3
ID: koa_10003022_004 | T:2 vs O:3
ID: koa_10003023_002 | T:1 vs O:2
ID: koa_10003023_003 | T:5 vs O:4
ID: koa_10003024_002 | T:5 vs O:6
ID: koa_10003026_003 | T:2 vs O:3
ID: koa_10003026_004 | T:5 vs O:6
ID: koa_10003027_001 | T:4 vs O:5
ID: koa_10003027_003 | T:10 vs O:9
ID: koa_10003027_004 | T:1 vs O:2
ID: koa_10003028_004 | T:4 vs O:5
ID: koa_10003029_003 | T:1 vs O:2
ID: koa_10004001_002 | T:24 vs O:25
ID: koa_10004002_001 | T:12 vs O:11
