=== 최종 100% 달성을 위한 점검 리스트 (총 450건) ===
이 리스트가 0건이 될 때까지 로직을 수정해야 합니다.

[의미밀림 의심] ID: koa_10005024_001 | s_id: 2 | 비율: 0.18
[의미밀림 의심] ID: koa_10006015_008 | s_id: 1 | 비율: 17.00
[의미밀림 의심] ID: koa_10006019_003 | s_id: 1 | 비율: 19.00
[의미밀림 의심] ID: koa_10106001_005 | s_id: 2 | 비율: 17.00
[의미밀림 의심] ID: koa_10106020_002 | s_id: 3 | 비율: 17.28
[의미밀림 의심] ID: koa_10108010_003 | s_id: 2 | 비율: 15.12
[의미밀림 의심] ID: koa_10201026_004 | s_id: 1 | 비율: 81.68
[의미밀림 의심] ID: koa_10203027_009 | s_id: 1 | 비율: 0.14
[의미밀림 의심] ID: koa_10509001_004 | s_id: 5 | 비율: 0.19
[의미밀림 의심] ID: koa_10605006_006 | s_id: 2 | 비율: 0.18
[의미밀림 의심] ID: koa_10706030_014 | s_id: 2 | 비율: 0.20
[의미밀림 의심] ID: koa_10806019_003 | s_id: 1 | 비율: 0.07
[의미밀림 의심] ID: koa_10807029_003 | s_id: 2 | 비율: 17.17
[의미밀림 의심] ID: koa_10901020_009 | s_id: 1 | 비율: 0.13
[의미밀림 의심] ID: koa_10909022_003 | s_id: 2 | 비율: 0.17
[의미밀림 의심] ID: koa_11008014_006 | s_id: 1 | 비율: 39.70
[의미밀림 의심] ID: koa_11210023_007 | s_id: 1 | 비율: 0.16
[의미밀림 의심] ID: koa_11402005_002 | s_id: 1 | 비율: 0.15
[의미밀림 의심] ID: koa_11405019_001 | s_id: 1 | 비율: 0.15
[의미밀림 의심] ID: kpa_10202025_003 | s_id: 1 | 비율: 18.61
[의미밀림 의심] ID: kpa_10203003_002 | s_id: 2 | 비율: 18.33
[의미밀림 의심] ID: kpa_10205004_002 | s_id: 2 | 비율: 17.33
[의미밀림 의심] ID: kpa_10209013_001 | s_id: 1 | 비율: 0.19
[의미밀림 의심] ID: kpa_10510001_006 | s_id: 1 | 비율: 0.15
[의미밀림 의심] ID: kpa_10512009_001 | s_id: 3 | 비율: 15.43
[의미밀림 의심] ID: kpa_10704119_002 | s_id: 2 | 비율: 0.17
[의미밀림 의심] ID: kpa_10704119_002 | s_id: 3 | 비율: 15.93
[의미밀림 의심] ID: kpa_10809009_001 | s_id: 2 | 비율: 0.17
[의미밀림 의심] ID: kpa_11005003_001 | s_id: 1 | 비율: 17.17
[의미밀림 의심] ID: kpa_11102002_001 | s_id: 1 | 비율: 25.50
[의미밀림 의심] ID: kpa_11305002_002 | s_id: 1 | 비율: 17.02
[의미밀림 의심] ID: kpa_11401010_001 | s_id: 4 | 비율: 15.53
[의미밀림 의심] ID: kpa_11503008_002 | s_id: 2 | 비율: 15.68
[의미밀림 의심] ID: kpa_11607024_001 | s_id: 1 | 비율: 33.63
[의미밀림 의심] ID: kpa_11809006_001 | s_id: 1 | 비율: 45.12
[의미밀림 의심] ID: kpa_11901002_001 | s_id: 1 | 비율: 26.58
[의미밀림 의심] ID: kpa_12108008_002 | s_id: 2 | 비율: 15.83
[의미밀림 의심] ID: kpa_12110009_001 | s_id: 1 | 비율: 21.90
[의미밀림 의심] ID: kpa_12205007_005 | s_id: 2 | 비율: 0.19
[의미밀림 의심] ID: kpa_12302019_001 | s_id: 1 | 비율: 23.41
[의미밀림 의심] ID: kpa_12309029_002 | s_id: 1 | 비율: 24.98
[의미밀림 의심] ID: kpa_12503020_001 | s_id: 2 | 비율: 18.00
[의미밀림 의심] ID: kpa_12608013_003 | s_id: 2 | 비율: 0.18
[의미밀림 의심] ID: kqa_10008023_004 | s_id: 1 | 비율: 19.39
[의미밀림 의심] ID: kqa_10008023_004 | s_id: 2 | 비율: 0.05
[의미밀림 의심] ID: kqa_10103025_003 | s_id: 3 | 비율: 0.17
[의미밀림 의심] ID: kqa_10111002_002 | s_id: 1 | 비율: 34.16
[의미밀림 의심] ID: kqa_10202025_002 | s_id: 1 | 비율: 35.88
[의미밀림 의심] ID: kqa_10206026_001 | s_id: 1 | 비율: 15.72
[의미밀림 의심] ID: kqa_10407106_003 | s_id: 2 | 비율: 18.75
[의미밀림 의심] ID: kqa_10705003_001 | s_id: 2 | 비율: 15.06
[의미밀림 의심] ID: kqa_10710015_001 | s_id: 2 | 비율: 16.25
[의미밀림 의심] ID: kqa_10711023_002 | s_id: 1 | 비율: 28.90
[의미밀림 의심] ID: kqa_10806007_001 | s_id: 1 | 비율: 82.43
[의미밀림 의심] ID: kqa_10901003_002 | s_id: 1 | 비율: 42.37
[의미밀림 의심] ID: kqa_10905002_002 | s_id: 2 | 비율: 15.02
[의미밀림 의심] ID: kra_10006019_001 | s_id: 5 | 비율: 19.87
[의미밀림 의심] ID: kra_10012005_004 | s_id: 1 | 비율: 80.04
[의미밀림 의심] ID: kra_10103016_002 | s_id: 1 | 비율: 35.50
[의미밀림 의심] ID: kra_10105016_001 | s_id: 2 | 비율: 15.20
[의미밀림 의심] ID: kra_10112007_002 | s_id: 5 | 비율: 18.86
[의미밀림 의심] ID: kra_10201004_001 | s_id: 3 | 비율: 0.14
[의미밀림 의심] ID: kra_10303006_003 | s_id: 1 | 비율: 19.80
[의미밀림 의심] ID: kra_10304024_002 | s_id: 1 | 비율: 21.40
[의미밀림 의심] ID: kra_10309023_006 | s_id: 1 | 비율: 18.37
[의미밀림 의심] ID: kra_10309026_004 | s_id: 1 | 비율: 39.37
[의미밀림 의심] ID: kra_10901027_003 | s_id: 3 | 비율: 20.00
[의미밀림 의심] ID: kra_10905013_002 | s_id: 1 | 비율: 15.39
[의미밀림 의심] ID: kra_10911021_002 | s_id: 2 | 비율: 15.50
[의미밀림 의심] ID: kra_11111019_002 | s_id: 2 | 비율: 0.19
[의미밀림 의심] ID: kra_11203022_001 | s_id: 2 | 비율: 0.08
[의미밀림 의심] ID: kra_11205002_002 | s_id: 2 | 비율: 0.14
[의미밀림 의심] ID: ksa_10012001_002 | s_id: 2 | 비율: 19.56
[의미밀림 의심] ID: ksa_10105016_006 | s_id: 2 | 비율: 15.44
[의미밀림 의심] ID: ksa_10110011_001 | s_id: 2 | 비율: 17.09
[의미밀림 의심] ID: ksa_10110028_001 | s_id: 10 | 비율: 0.12
[의미밀림 의심] ID: ksa_10204009_002 | s_id: 1 | 비율: 18.72
[의미밀림 의심] ID: ksa_10206015_004 | s_id: 1 | 비율: 19.64
[의미밀림 의심] ID: ksa_10210015_001 | s_id: 1 | 비율: 20.62
[의미밀림 의심] ID: ksa_10210021_002 | s_id: 1 | 비율: 17.51
[의미밀림 의심] ID: ksa_10303029_001 | s_id: 1 | 비율: 15.94
[의미밀림 의심] ID: ksa_10305025_001 | s_id: 5 | 비율: 0.10
[의미밀림 의심] ID: ksa_10403013_001 | s_id: 1 | 비율: 20.35
[의미밀림 의심] ID: ksa_10405022_002 | s_id: 1 | 비율: 52.75
[의미밀림 의심] ID: ksa_10410024_002 | s_id: 2 | 비율: 0.15
[의미밀림 의심] ID: ksa_10603029_001 | s_id: 1 | 비율: 28.28
[의미밀림 의심] ID: ksa_10611027_002 | s_id: 1 | 비율: 45.88
[의미밀림 의심] ID: ksa_10702017_002 | s_id: 1 | 비율: 18.55
[의미밀림 의심] ID: ksa_10705014_001 | s_id: 1 | 비율: 19.38
[의미밀림 의심] ID: ksa_10705021_001 | s_id: 1 | 비율: 27.63
[의미밀림 의심] ID: ksa_10706017_001 | s_id: 1 | 비율: 0.12
[의미밀림 의심] ID: ksa_10711029_002 | s_id: 1 | 비율: 28.38
[의미밀림 의심] ID: ksa_10712007_004 | s_id: 1 | 비율: 31.81
[의미밀림 의심] ID: ksa_10712007_005 | s_id: 1 | 비율: 18.51
[의미밀림 의심] ID: ksa_10811020_002 | s_id: 1 | 비율: 32.63
[의미밀림 의심] ID: ksa_10811029_003 | s_id: 1 | 비율: 16.07
[의미밀림 의심] ID: ksa_10902019_002 | s_id: 1 | 비율: 27.08
[의미밀림 의심] ID: ksa_10902027_001 | s_id: 1 | 비율: 15.83
[의미밀림 의심] ID: ksa_10907030_002 | s_id: 1 | 비율: 29.95
[의미밀림 의심] ID: ksa_10908004_002 | s_id: 1 | 비율: 17.21
[의미밀림 의심] ID: ksa_10909026_001 | s_id: 1 | 비율: 19.59
[의미밀림 의심] ID: ksa_11003015_002 | s_id: 1 | 비율: 0.12
[의미밀림 의심] ID: ksa_11007001_002 | s_id: 2 | 비율: 0.15
[의미밀림 의심] ID: ksa_11007012_001 | s_id: 4 | 비율: 15.37
[의미밀림 의심] ID: ksa_11008009_002 | s_id: 2 | 비율: 18.82
[의미밀림 의심] ID: ksa_11204128_002 | s_id: 1 | 비율: 0.18
[의미밀림 의심] ID: ksa_11303020_002 | s_id: 3 | 비율: 18.00
[의미밀림 의심] ID: ksa_11307025_002 | s_id: 2 | 비율: 18.50
