ID: koa_10002001_007 | O:1, T:2
ID: koa_10002001_017 | O:1, T:2
ID: koa_10002002_003 | O:2, T:1
ID: koa_10002002_009 | O:4, T:3
ID: koa_10002002_010 | O:9, T:55
ID: koa_10002003_002 | O:4, T:5
ID: koa_10002003_003 | O:3, T:2
ID: koa_10002005_006 | O:2, T:1
ID: koa_10002006_007 | O:1, T:2
ID: koa_10002007_004 | O:2, T:1
ID: koa_10002007_007 | O:3, T:2
ID: koa_10002009_001 | O:3, T:2
ID: koa_10002010_001 | O:2, T:3
ID: koa_10002010_002 | O:2, T:1
ID: koa_10002010_004 | O:3, T:5
ID: koa_10002011_003 | O:8, T:7
ID: koa_10002011_004 | O:5, T:15
ID: koa_10002013_001 | O:1, T:3
ID: koa_10002013_004 | O:12, T:4
ID: koa_10002013_007 | O:2, T:3
ID: koa_10002014_003 | O:2, T:3
ID: koa_10002014_005 | O:3, T:1
ID: koa_10002014_006 | O:4, T:1
ID: koa_10002015_001 | O:3, T:2
ID: koa_10002015_010 | O:6, T:1
ID: koa_10002016_005 | O:3, T:2
ID: koa_10002017_002 | O:1, T:3
ID: koa_10002017_003 | O:1, T:2
ID: koa_10002017_007 | O:5, T:1
ID: koa_10002017_011 | O:2, T:4
ID: koa_10002017_013 | O:4, T:5
ID: koa_10002018_004 | O:1, T:2
ID: koa_10002018_005 | O:1, T:2
ID: koa_10002018_006 | O:1, T:2
ID: koa_10002018_007 | O:2, T:7
ID: koa_10002018_008 | O:1, T:3
ID: koa_10002018_009 | O:2, T:4
ID: koa_10002018_010 | O:2, T:3
ID: koa_10002018_011 | O:4, T:5
ID: koa_10002018_015 | O:1, T:3
ID: koa_10002019_004 | O:18, T:17
ID: koa_10002019_005 | O:6, T:1
ID: koa_10002019_012 | O:4, T:3
ID: koa_10002019_014 | O:2, T:4
ID: koa_10002020_003 | O:1, T:2
ID: koa_10002020_015 | O:8, T:6
ID: koa_10002021_001 | O:2, T:1
ID: koa_10002021_002 | O:8, T:9
ID: koa_10002021_003 | O:1, T:5
ID: koa_10002021_006 | O:40, T:10
