ID: koa_10002021_012 | O:224, T:198, R:2.42
ID: koa_10004001_001 | O:123, T:16, R:2.43
ID: koa_10004010_002 | O:54, T:18, R:2.13
ID: koa_10004014_006 | O:49, T:4, R:2.24
ID: koa_10005002_002 | O:197, T:27, R:2.49
ID: koa_10006015_008 | O:1, T:3, R:17.00
ID: koa_10007007_006 | O:56, T:51, R:2.22
ID: koa_10007007_008 | O:45, T:3, R:2.42
ID: koa_10007007_010 | O:46, T:2, R:2.45
ID: koa_10010013_002 | O:49, T:6, R:2.09
ID: koa_10011010_006 | O:51, T:16, R:2.48
ID: koa_10011012_002 | O:107, T:19, R:2.42
ID: koa_10011015_002 | O:69, T:10, R:2.57
ID: koa_10011022_007 | O:68, T:19, R:2.40
ID: koa_10012020_002 | O:100, T:24, R:2.24
ID: koa_10106008_005 | O:1, T:2, R:14.50
ID: koa_10106015_001 | O:1, T:2, R:8.75
ID: koa_10203014_005 | O:77, T:27, R:2.21
ID: koa_10203019_006 | O:1, T:1, R:8.80
ID: koa_10203026_001 | O:81, T:21, R:2.23
ID: koa_10210013_002 | O:45, T:5, R:2.01
ID: koa_10211024_002 | O:1, T:2, R:12.67
ID: koa_10303026_005 | O:72, T:62, R:2.25
ID: koa_10303029_004 | O:89, T:27, R:2.17
ID: koa_10304018_001 | O:46, T:35, R:2.32
ID: koa_10312028_003 | O:1, T:1, R:8.28
ID: koa_10402006_002 | O:122, T:7, R:2.90
ID: koa_10406025_003 | O:46, T:12, R:2.22
ID: koa_10409022_003 | O:54, T:8, R:2.47
ID: koa_10503012_003 | O:47, T:51, R:2.01
ID: koa_10505022_007 | O:1, T:3, R:11.75
ID: koa_10506022_018 | O:45, T:16, R:2.21
ID: koa_10507015_006 | O:79, T:4, R:2.10
ID: koa_10508008_001 | O:82, T:9, R:2.47
ID: koa_10511010_002 | O:68, T:19, R:2.39
ID: koa_10702018_008 | O:49, T:54, R:1.86
ID: koa_10703009_002 | O:48, T:9, R:2.08
ID: koa_10703025_002 | O:47, T:14, R:2.12
ID: koa_10703025_003 | O:59, T:17, R:2.08
ID: koa_10704004_003 | O:49, T:13, R:2.08
ID: koa_10708108_002 | O:90, T:97, R:2.02
ID: koa_10806001_002 | O:121, T:128, R:2.09
ID: koa_10811027_008 | O:45, T:7, R:2.33
ID: koa_10812021_002 | O:183, T:56, R:2.36
ID: koa_10901004_005 | O:46, T:11, R:2.35
ID: koa_10901004_008 | O:57, T:6, R:2.19
ID: koa_10901013_014 | O:58, T:12, R:2.45
ID: koa_10901026_005 | O:48, T:9, R:2.43
ID: koa_10902007_001 | O:56, T:9, R:2.42
ID: koa_10904007_004 | O:45, T:83, R:2.39
