ID: koa_10501001_002 | 사유: 기계분할_실패(O:2, T:4)
ID: koa_10501001_003 | 사유: 기계분할_실패(O:10, T:12)
ID: koa_10501001_004 | 사유: 기계분할_실패(O:3, T:3)
ID: koa_10501002_001 | 사유: 기계분할_실패(O:6, T:6)
ID: koa_10501002_002 | 사유: 가짜매칭_적발(유사도 0.47)
ID: koa_10501003_002 | 사유: 기계분할_실패(O:6, T:5)
ID: koa_10501003_003 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10501004_001 | 사유: 기계분할_실패(O:4, T:6)
ID: koa_10501004_002 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10501005_001 | 사유: 가짜매칭_적발(유사도 0.49)
ID: koa_10501005_003 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10501005_004 | 사유: 기계분할_실패(O:2, T:3)
ID: koa_10501006_002 | 사유: 기계분할_실패(O:19, T:21)
ID: koa_10501006_003 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10501007_002 | 사유: 기계분할_실패(O:1, T:3)
ID: koa_10501007_003 | 사유: 기계분할_실패(O:5, T:6)
ID: koa_10501007_004 | 사유: 기계분할_실패(O:3, T:3)
ID: koa_10501007_005 | 사유: 기계분할_실패(O:8, T:8)
ID: koa_10501008_001 | 사유: 기계분할_실패(O:5, T:6)
ID: koa_10501009_002 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10501010_001 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10501012_001 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10501013_001 | 사유: 기계분할_실패(O:16, T:14)
ID: koa_10501013_002 | 사유: 기계분할_실패(O:5, T:6)
ID: koa_10501013_003 | 사유: 기계분할_실패(O:13, T:12)
ID: koa_10501013_004 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10501014_002 | 사유: 기계분할_실패(O:6, T:6)
ID: koa_10501015_001 | 사유: 기계분할_실패(O:4, T:4)
ID: koa_10501016_001 | 사유: 기계분할_실패(O:13, T:15)
ID: koa_10501017_002 | 사유: 기계분할_실패(O:4, T:2)
ID: koa_10501019_001 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10501021_002 | 사유: 기계분할_실패(O:5, T:5)
ID: koa_10501022_001 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10501023_002 | 사유: 기계분할_실패(O:6, T:8)
ID: koa_10501025_001 | 사유: 기계분할_실패(O:5, T:6)
ID: koa_10501027_001 | 사유: 기계분할_실패(O:9, T:7)
ID: koa_10501028_001 | 사유: 가짜매칭_적발(유사도 0.49)
ID: koa_10501028_002 | 사유: 기계분할_실패(O:10, T:7)
ID: koa_10501028_003 | 사유: 기계분할_실패(O:14, T:16)
ID: koa_10501029_001 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10502004_001 | 사유: 기계분할_실패(O:24, T:28)
ID: koa_10502005_001 | 사유: 기계분할_실패(O:6, T:6)
ID: koa_10502005_002 | 사유: 기계분할_실패(O:5, T:5)
ID: koa_10502006_001 | 사유: 기계분할_실패(O:10, T:10)
ID: koa_10502008_001 | 사유: 기계분할_실패(O:10, T:12)
ID: koa_10502008_002 | 사유: 기계분할_실패(O:10, T:9)
ID: koa_10502008_003 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10502010_001 | 사유: 기계분할_실패(O:4, T:2)
ID: koa_10502011_001 | 사유: 가짜매칭_적발(유사도 0.38)
ID: koa_10502011_002 | 사유: 기계분할_실패(O:6, T:6)
ID: koa_10502015_001 | 사유: 기계분할_실패(O:7, T:7)
ID: koa_10502016_001 | 사유: 가짜매칭_적발(유사도 0.34)
ID: koa_10502018_002 | 사유: 기계분할_실패(O:7, T:6)
ID: koa_10502018_003 | 사유: 기계분할_실패(O:11, T:12)
ID: koa_10502018_004 | 사유: 기계분할_실패(O:21, T:25)
ID: koa_10502019_001 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10502019_002 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10502020_001 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10502020_002 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10502022_001 | 사유: 기계분할_실패(O:2, T:2)
ID: koa_10502023_001 | 사유: 기계분할_실패(O:13, T:14)
ID: koa_10502024_001 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10502024_002 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10502024_003 | 사유: 기계분할_실패(O:15, T:14)
ID: koa_10502025_001 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10502025_003 | 사유: 기계분할_실패(O:12, T:13)
ID: koa_10502026_001 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10502027_001 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10502028_001 | 사유: 가짜매칭_적발(유사도 0.31)
ID: koa_10502029_001 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10502030_002 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10502030_003 | 사유: 기계분할_실패(O:6, T:5)
ID: koa_10503001_001 | 사유: 가짜매칭_적발(유사도 0.49)
ID: koa_10503001_002 | 사유: 기계분할_실패(O:15, T:16)
ID: koa_10503001_003 | 사유: 기계분할_실패(O:65, T:72)
ID: koa_10503002_001 | 사유: 기계분할_실패(O:12, T:11)
ID: koa_10503003_001 | 사유: 기계분할_실패(O:7, T:7)
ID: koa_10503003_002 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10503005_001 | 사유: 기계분할_실패(O:9, T:11)
ID: koa_10503005_002 | 사유: 기계분할_실패(O:7, T:8)
ID: koa_10503006_001 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10503006_002 | 사유: 기계분할_실패(O:10, T:11)
ID: koa_10503006_003 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10503007_001 | 사유: 기계분할_실패(O:5, T:7)
ID: koa_10503007_002 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10503008_001 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10503008_002 | 사유: 기계분할_실패(O:8, T:8)
ID: koa_10503008_003 | 사유: 기계분할_실패(O:7, T:8)
ID: koa_10503011_001 | 사유: 기계분할_실패(O:7, T:8)
ID: koa_10503012_001 | 사유: 기계분할_실패(O:41, T:43)
ID: koa_10503012_002 | 사유: 가짜매칭_적발(유사도 0.44)
ID: koa_10503012_003 | 사유: 기계분할_실패(O:55, T:51)
ID: koa_10503012_004 | 사유: 기계분할_실패(O:2, T:4)
ID: koa_10503012_005 | 사유: 기계분할_실패(O:12, T:14)
ID: koa_10503013_001 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10503013_002 | 사유: 기계분할_실패(O:16, T:18)
ID: koa_10503014_001 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10503014_002 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10503014_003 | 사유: 기계분할_실패(O:39, T:45)
ID: koa_10503015_001 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10503015_002 | 사유: 기계분할_실패(O:2, T:4)
ID: koa_10503015_003 | 사유: 기계분할_실패(O:5, T:6)
ID: koa_10503016_001 | 사유: 기계분할_실패(O:6, T:10)
ID: koa_10503016_002 | 사유: 기계분할_실패(O:11, T:13)
ID: koa_10503017_001 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10503018_001 | 사유: 기계분할_실패(O:12, T:10)
ID: koa_10503020_003 | 사유: 기계분할_실패(O:13, T:17)
ID: koa_10503021_001 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10503022_001 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10503023_001 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10503023_003 | 사유: 기계분할_실패(O:5, T:5)
ID: koa_10503024_003 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10503024_004 | 사유: 기계분할_실패(O:10, T:11)
ID: koa_10503027_001 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10503028_001 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10503029_001 | 사유: 기계분할_실패(O:3, T:3)
ID: koa_10503029_002 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10504002_001 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10504003_001 | 사유: 가짜매칭_적발(유사도 0.45)
ID: koa_10504003_003 | 사유: 기계분할_실패(O:6, T:8)
ID: koa_10504004_001 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10504007_001 | 사유: 기계분할_실패(O:6, T:6)
ID: koa_10504008_001 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10504011_001 | 사유: 기계분할_실패(O:7, T:8)
ID: koa_10504011_002 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10504013_001 | 사유: 기계분할_실패(O:7, T:8)
ID: koa_10504013_002 | 사유: 기계분할_실패(O:4, T:2)
ID: koa_10504014_001 | 사유: 기계분할_실패(O:17, T:18)
ID: koa_10504014_002 | 사유: 기계분할_실패(O:18, T:15)
ID: koa_10504014_003 | 사유: 기계분할_실패(O:6, T:8)
ID: koa_10504015_001 | 사유: 기계분할_실패(O:32, T:31)
ID: koa_10504016_001 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10504016_002 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10504017_001 | 사유: 기계분할_실패(O:25, T:29)
ID: koa_10504017_002 | 사유: 기계분할_실패(O:3, T:3)
ID: koa_10504018_001 | 사유: 기계분할_실패(O:1, T:3)
ID: koa_10504019_001 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10504020_001 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10504022_001 | 사유: 가짜매칭_적발(유사도 0.47)
ID: koa_10504023_001 | 사유: 기계분할_실패(O:2, T:3)
ID: koa_10504025_002 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10504025_003 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10504025_005 | 사유: 기계분할_실패(O:6, T:6)
ID: koa_10504025_006 | 사유: 기계분할_실패(O:30, T:27)
ID: koa_10504025_007 | 사유: 기계분할_실패(O:24, T:22)
ID: koa_10504025_008 | 사유: 가짜매칭_적발(유사도 0.41)
ID: koa_10504025_009 | 사유: 기계분할_실패(O:9, T:8)
ID: koa_10504025_010 | 사유: 기계분할_실패(O:12, T:12)
ID: koa_10504025_011 | 사유: 기계분할_실패(O:4, T:4)
ID: koa_10504025_012 | 사유: 기계분할_실패(O:3, T:1)
ID: koa_10504026_003 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10504027_001 | 사유: 기계분할_실패(O:15, T:14)
ID: koa_10504027_003 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10504027_004 | 사유: 기계분할_실패(O:8, T:8)
ID: koa_10504027_005 | 사유: 기계분할_실패(O:4, T:4)
ID: koa_10504027_006 | 사유: 기계분할_실패(O:35, T:32)
ID: koa_10504028_001 | 사유: 가짜매칭_적발(유사도 0.41)
ID: koa_10504028_003 | 사유: 기계분할_실패(O:12, T:14)
ID: koa_10504028_004 | 사유: 기계분할_실패(O:16, T:13)
ID: koa_10504028_006 | 사유: 기계분할_실패(O:18, T:19)
ID: koa_10504028_007 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10504029_001 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10504029_002 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10504029_003 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10504029_004 | 사유: 기계분할_실패(O:7, T:5)
ID: koa_10504029_006 | 사유: 기계분할_실패(O:8, T:8)
ID: koa_10504029_007 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10505001_001 | 사유: 가짜매칭_적발(유사도 0.49)
ID: koa_10505001_003 | 사유: 기계분할_실패(O:31, T:29)
ID: koa_10505001_004 | 사유: 기계분할_실패(O:7, T:6)
ID: koa_10505002_001 | 사유: 기계분할_실패(O:26, T:26)
ID: koa_10505002_003 | 사유: 기계분할_실패(O:16, T:17)
ID: koa_10505002_004 | 사유: 기계분할_실패(O:18, T:16)
ID: koa_10505002_007 | 사유: 가짜매칭_적발(유사도 0.31)
ID: koa_10505002_009 | 사유: 기계분할_실패(O:9, T:5)
ID: koa_10505003_001 | 사유: 가짜매칭_적발(유사도 0.37)
ID: koa_10505003_003 | 사유: 기계분할_실패(O:6, T:7)
ID: koa_10505003_004 | 사유: 기계분할_실패(O:5, T:3)
ID: koa_10505003_005 | 사유: 기계분할_실패(O:8, T:9)
ID: koa_10505003_007 | 사유: 기계분할_실패(O:6, T:6)
ID: koa_10505003_008 | 사유: 기계분할_실패(O:9, T:8)
ID: koa_10505003_009 | 사유: 기계분할_실패(O:10, T:10)
ID: koa_10505004_001 | 사유: 기계분할_실패(O:6, T:9)
ID: koa_10505004_002 | 사유: 기계분할_실패(O:25, T:24)
ID: koa_10505004_004 | 사유: 기계분할_실패(O:7, T:6)
ID: koa_10505004_005 | 사유: 기계분할_실패(O:10, T:9)
ID: koa_10505004_006 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505004_007 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10505004_008 | 사유: 기계분할_실패(O:12, T:11)
ID: koa_10505004_009 | 사유: 기계분할_실패(O:17, T:19)
ID: koa_10505004_010 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10505005_001 | 사유: 기계분할_실패(O:5, T:6)
ID: koa_10505005_002 | 사유: 기계분할_실패(O:4, T:6)
ID: koa_10505005_003 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10505005_004 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10505005_006 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505005_007 | 사유: 기계분할_실패(O:8, T:6)
ID: koa_10505005_008 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10505005_009 | 사유: 기계분할_실패(O:6, T:5)
ID: koa_10505005_010 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10505005_011 | 사유: 가짜매칭_적발(유사도 0.37)
ID: koa_10505005_012 | 사유: 가짜매칭_적발(유사도 0.37)
ID: koa_10505005_013 | 사유: 기계분할_실패(O:4, T:2)
ID: koa_10505005_014 | 사유: 가짜매칭_적발(유사도 0.23)
ID: koa_10505006_001 | 사유: 가짜매칭_적발(유사도 0.43)
ID: koa_10505006_002 | 사유: 기계분할_실패(O:2, T:2)
ID: koa_10505006_004 | 사유: 기계분할_실패(O:2, T:4)
ID: koa_10505006_005 | 사유: 기계분할_실패(O:46, T:48)
ID: koa_10505006_006 | 사유: 가짜매칭_적발(유사도 0.36)
ID: koa_10505006_007 | 사유: 기계분할_실패(O:6, T:4)
ID: koa_10505006_009 | 사유: 가짜매칭_적발(유사도 0.34)
ID: koa_10505006_010 | 사유: 기계분할_실패(O:12, T:12)
ID: koa_10505006_011 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10505006_012 | 사유: 기계분할_실패(O:17, T:19)
ID: koa_10505006_013 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505006_014 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10505006_015 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505006_016 | 사유: 가짜매칭_적발(유사도 0.49)
ID: koa_10505006_017 | 사유: 기계분할_실패(O:11, T:11)
ID: koa_10505006_018 | 사유: 기계분할_실패(O:22, T:25)
ID: koa_10505006_020 | 사유: 기계분할_실패(O:4, T:2)
