ID: koa_10002002_003 | T:6 vs O:8
ID: koa_10002002_010 | T:70 vs O:79
ID: koa_10002007_007 | T:2 vs O:4
ID: koa_10002009_001 | T:11 vs O:15
ID: koa_10002010_004 | T:7 vs O:4
ID: koa_10002011_003 | T:10 vs O:12
ID: koa_10002011_004 | T:18 vs O:16
ID: koa_10002013_002 | T:11 vs O:13
ID: koa_10002014_010 | T:5 vs O:3
ID: koa_10002016_003 | T:11 vs O:13
ID: koa_10002017_002 | T:6 vs O:4
ID: koa_10002017_011 | T:4 vs O:2
ID: koa_10002018_007 | T:9 vs O:7
ID: koa_10002018_008 | T:10 vs O:8
ID: koa_10002018_015 | T:4 vs O:2
ID: koa_10002019_009 | T:21 vs O:19
ID: koa_10002019_014 | T:20 vs O:18
ID: koa_10002020_006 | T:10 vs O:21
ID: koa_10002020_007 | T:13 vs O:18
ID: koa_10002020_015 | T:6 vs O:8
ID: koa_10002021_006 | T:53 vs O:50
ID: koa_10002021_012 | T:418 vs O:425
ID: koa_10002022_003 | T:17 vs O:19
ID: koa_10002023_002 | T:13 vs O:11
ID: koa_10002023_003 | T:10 vs O:8
ID: koa_10002023_004 | T:10 vs O:8
ID: koa_10002023_006 | T:12 vs O:10
ID: koa_10002023_007 | T:6 vs O:4
ID: koa_10002026_002 | T:51 vs O:53
ID: koa_10003002_001 | T:11 vs O:21
ID: koa_10003002_007 | T:6 vs O:8
ID: koa_10003003_003 | T:15 vs O:17
ID: koa_10003004_001 | T:2 vs O:4
ID: koa_10003005_001 | T:3 vs O:5
ID: koa_10003006_001 | T:4 vs O:6
ID: koa_10003009_003 | T:5 vs O:7
ID: koa_10003011_003 | T:2 vs O:5
ID: koa_10003014_001 | T:1 vs O:3
ID: koa_10003014_003 | T:1 vs O:3
ID: koa_10003015_002 | T:16 vs O:18
ID: koa_10003018_003 | T:6 vs O:9
ID: koa_10003020_001 | T:10 vs O:8
ID: koa_10003021_004 | T:12 vs O:20
ID: koa_10003025_002 | T:11 vs O:13
ID: koa_10003027_002 | T:11 vs O:13
ID: koa_10003028_001 | T:9 vs O:7
ID: koa_10004001_001 | T:132 vs O:141
ID: koa_10004001_003 | T:14 vs O:12
ID: koa_10004002_002 | T:5 vs O:3
ID: koa_10004002_004 | T:19 vs O:16
ID: koa_10004003_001 | T:7 vs O:5
ID: koa_10004005_002 | T:4 vs O:2
ID: koa_10004007_001 | T:28 vs O:25
ID: koa_10004008_003 | T:40 vs O:45
ID: koa_10004010_002 | T:73 vs O:71
ID: koa_10004010_003 | T:31 vs O:29
ID: koa_10004013_003 | T:10 vs O:5
ID: koa_10004014_007 | T:6 vs O:4
ID: koa_10004015_002 | T:19 vs O:15
ID: koa_10004016_004 | T:67 vs O:63
ID: koa_10004017_003 | T:12 vs O:7
ID: koa_10004017_005 | T:12 vs O:10
ID: koa_10004017_006 | T:11 vs O:9
ID: koa_10004017_008 | T:10 vs O:8
ID: koa_10004021_002 | T:7 vs O:9
